frame_number,tracking_id,car_x1,car_y1,car_x2,car_y2,lp_x1,lp_y1,lp_x2,lp_y2
0,4,1450.3001708984375,470.6077575683594,1905.031494140625,1020.4065551757812,,,,
0,3,824.196044921875,441.4058532714844,1496.3892822265625,937.7778930664062,1123.4693603515625,678.1079406738281,1247.2832946777344,751.4504699707031
0,2,827.6873168945312,438.9894104003906,1497.85595703125,935.3626708984375,1124.2970275878906,678.2689819335938,1248.3434143066406,751.9448547363281
0,1,1449.77392578125,471.35491943359375,1904.767822265625,1022.604736328125,,,,
1,3,824.1083454502327,441.1023298832599,1495.373759379684,935.9012753424711,1123.7443317783577,678.1186262699787,1247.0266804111702,751.3710371586506
1,2,827.4898798079303,438.6884198498026,1496.8632053887595,933.8848779502837,1123.9564935774615,679.9314160656229,1247.7860834212115,751.9530988048807
1,1,1450.1825336967975,471.34816350513256,1904.8099749876053,1022.3370445735422,,,,
2,3,824.0611855256723,441.5914957813785,1495.7761062430948,936.9493500274092,1123.7067848909066,678.7239725880191,1246.8700234162973,751.7329447559879
2,2,827.5107395208454,439.0875005818599,1497.5899206436177,935.0950357534783,1123.9745761907673,678.4991827107661,1248.1010715520954,752.0356512166255
2,1,1449.939678430596,471.33617196152557,1904.7944502895384,1022.7381694489371,,,,
3,3,824.078501891026,442.09297439258853,1494.9828092553003,938.1909854717687,1124.7122604359479,679.4107386748151,1247.1237899769635,749.3983943144635
3,2,827.239204588313,439.5538560366869,1496.3977244101156,936.2185964426546,1124.1890336898755,679.1934281802417,1247.665992918391,749.9314195132495
3,1,1450.3717913886567,471.1321050914864,1904.8949084340375,1022.4053434598404,,,,
4,3,824.4099556452602,442.14311770982795,1494.794592936842,939.0077405056579,1123.7081429011196,678.8263910252576,1248.0710884577602,750.5275476414686
4,2,827.3543447499173,439.53795671575796,1496.0494317399648,936.8576840041867,1124.350621605386,679.3281636249376,1247.8404592518705,749.9727406513048
4,1,1451.0306707839452,470.99588077133717,1905.0737165237954,1022.4076116136707,,,,
5,3,824.2520074297768,442.12929599812924,1494.7324348084194,939.8260122908741,1123.5136041094643,678.5691153340667,1247.9587029864174,750.3339163594574
5,2,827.1852052402319,439.52624690363024,1495.8567851499693,937.5200620213654,1124.3322694492163,680.1571673137864,1246.3644960117163,750.7338885051927
5,1,1454.016057764737,471.5905433919046,1905.7703710791752,1022.2016600406133,,,,
6,3,824.657173647438,441.85460055104613,1495.5386660822242,940.2210483232698,1124.0013203759536,679.6168075822961,1248.5262532372817,751.3385177873743
