frame_number,tracking_id,car_x1,car_y1,car_x2,car_y2,detected_color,lp_x1,lp_y1,lp_x2,lp_y2,lp_num,lg_x1,lg_y1,lg_x2,lg_y2,lg_name
0,7,769.237060546875,526.6849365234375,895.9600830078125,773.0464477539062,black,782.5112419128418,626.4226913452148,798.2669448852539,649.5495910644531,,,,,,
0,6,673.4434814453125,560.7395629882812,767.4531860351562,645.527587890625,white,,,,,,,,,,
0,5,1450.3001708984375,470.6077575683594,1905.031494140625,1020.4065551757812,black,,,,,,,,,,
0,4,824.196044921875,441.4058532714844,1496.3892822265625,937.7778930664062,black,1123.4693603515625,678.1079406738281,1247.2832946777344,751.4504699707031,EPH839,1161.3900451660156,638.0302581787109,1217.2189636230469,686.5193786621094,Honda
0,3,827.6873168945312,438.9894104003906,1497.85595703125,935.3626708984375,black,1124.2970275878906,678.2689819335938,1248.3434143066406,751.9448547363281,BEPH839,1162.0614624023438,637.5469207763672,1217.3055114746094,685.9506683349609,Honda
0,2,1449.77392578125,471.35491943359375,1904.767822265625,1022.604736328125,black,,,,,,,,,,
0,1,769.9303588867188,526.8954467773438,897.20556640625,770.3789672851562,darkslategray,782.4753227233887,625.8213043212891,799.3107795715332,651.3361053466797,,,,,,
1,7,768.4538386487026,525.975500336977,896.2511055366832,773.2222458392911,darkslategray,,,,,,,,,,
1,6,669.282004919754,560.5625694557505,764.5823450002347,647.138154043726,darkslategray,,,,,,,,,,
1,4,824.1083454502327,441.1023298832599,1495.373759379684,935.9012753424711,black,1123.7443317783577,678.1186262699787,1247.0266804111702,751.3710371586506,8EPH839,1161.267128409217,637.8578535649006,1216.9109882724983,686.1831099125568,Honda
1,3,827.4898798079303,438.6884198498026,1496.8632053887595,933.8848779502837,black,1123.9564935774615,679.9314160656229,1247.7860834212115,751.9530988048807,BEPH839,1161.2557184309771,639.1114087414041,1216.3898431868365,685.9253735851541,Honda
1,2,1450.1825336967975,471.34816350513256,1904.8099749876053,1022.3370445735422,black,,,,,,,,,,
1,1,769.5220591265169,526.4204222363306,897.4037431127005,770.5201018386368,darkslategray,781.6533495623079,624.993626276858,798.8422095018831,650.959950129397,,,,,,
2,4,824.0611855256723,441.5914957813785,1495.7761062430948,936.9493500274092,black,1123.7067848909066,678.7239725880191,1246.8700234162973,751.7329447559879,8EPH839,1161.2419106233285,638.3223917774723,1216.622373269813,686.6719858936832,Honda
2,3,827.5107395208454,439.0875005818599,1497.5899206436177,935.0950357534783,black,1123.9745761907673,678.4991827107661,1248.1010715520954,752.0356512166255,8EPH839,1161.9988681829548,637.7781286336177,1216.9666416204548,685.9122076131099,Honda
2,2,1449.939678430596,471.33617196152557,1904.7944502895384,1022.7381694489371,black,,,,,,,,,,
2,1,769.4838792806156,526.4860114354667,897.1934592360985,770.3721835517085,darkslategray,781.6905633931644,624.9938544530448,798.8576166158207,650.9529151219901,,,,,,
3,4,824.078501891026,442.09297439258853,1494.9828092553003,938.1909854717687,black,1124.7122604359479,679.4107386748151,1247.1237899769635,749.3983943144635,8EPH839,1161.5893051136823,638.7278773466901,1215.6809188832135,685.4302241484479,Honda
3,3,827.239204588313,439.5538560366869,1496.3977244101156,936.2185964426546,black,1124.1890336898755,679.1934281802417,1247.665992918391,749.9314195132495,8EPH839,1161.941139402766,638.1666795230151,1215.7400285629224,686.0512010073901,Honda
3,2,1450.3717913886567,471.1321050914864,1904.8949084340375,1022.4053434598404,black,,,,,,,,,,
3,1,769.4656332104511,526.1869625764347,897.6653371145829,770.5484678539348,darkslategray,781.6772010891742,624.6992230134464,798.8419855206317,650.6671795564151,,,,,,
4,4,824.4099556452602,442.14311770982795,1494.794592936842,939.0077405056579,black,1123.7081429011196,678.8263910252576,1248.0710884577602,750.5275476414686,8EPH839,1161.893293047604,637.7576959568983,1216.1402412897914,684.8335779149061,Honda
4,3,827.3543447499173,439.53795671575796,1496.0494317399648,936.8576840041867,black,1124.350621605386,679.3281636249376,1247.8404592518705,749.9727406513048,8EPH839,1162.0953420643705,638.2558674823595,1215.9626211171048,686.1037983905626,Honda
4,2,1451.0306707839452,470.99588077133717,1905.0737165237954,1022.4076116136707,black,,,,,,,,,,
4,1,769.4623334782889,526.1198223099367,898.0310824140786,770.5823154330216,darkslategray,,,,,,,,,,
5,6,658.6343062344415,560.9716823239163,755.6612645829825,648.6160242022983,black,,,,,,,,,,
5,4,824.2520074297768,442.12929599812924,1494.7324348084194,939.8260122908741,black,1123.5136041094643,678.5691153340667,1247.9587029864174,750.3339163594574,8EPH839,1161.7792291094643,637.4964072041839,1216.0586480547768,684.7437979512542,Honda
5,3,827.1852052402319,439.52624690363024,1495.8567851499693,937.5200620213654,black,1124.3322694492163,680.1571673137864,1246.3644960117163,750.7338885051927,8EPH839,1162.0606324863256,638.264238236638,1216.6131837558569,686.7639025432786,Honda
5,2,1454.016057764737,471.5905433919046,1905.7703710791752,1022.2016600406133,black,,,,,,,,,,
