frame_number,tracking_id,car_x1,car_y1,car_x2,car_y2,lp_x1,lp_y1,lp_x2,lp_y2,lg_x1,lg_y1,lg_x2,lg_y2,lg_name
4,2,827.3543447499173,439.53795671575796,1496.0494317399648,936.8576840041867,1124.350621605386,679.3281636249376,1247.8404592518705,749.9727406513048,1162.0953420643705,638.2558674823595,1215.9626211171048,686.1037983905626,Honda
4,1,1451.0306707839452,470.99588077133717,1905.0737165237954,1022.4076116136707,,,,,,,,,[None]
5,3,824.2520074297768,442.12929599812924,1494.7324348084194,939.8260122908741,1123.5136041094643,678.5691153340667,1247.9587029864174,750.3339163594574,1161.7792291094643,637.4964072041839,1216.0586480547768,684.7437979512542,Honda
5,2,827.1852052402319,439.52624690363024,1495.8567851499693,937.5200620213654,1124.3322694492163,680.1571673137864,1246.3644960117163,750.7338885051927,1162.0606324863256,638.264238236638,1216.6131837558569,686.7639025432786,Honda
5,1,1454.016057764737,471.5905433919046,1905.7703710791752,1022.2016600406133,,,,,,,,,[None]
6,3,824.657173647438,441.85460055104613,1495.5386660822242,940.2210483232698,1124.0013203759536,679.6168075822961,1248.5262532372817,751.3385177873743,1162.022896303688,639.3743912004602,1215.6693196435317,686.5007034563196,Honda
6,2,827.6476793645307,439.27402298901734,1496.9503327054294,937.9526287687813,1124.7058458684369,679.8460902497595,1247.3619127629681,750.2872371003455,1162.3252306340619,637.8363856599158,1216.28375724539,685.9150752351111,Honda
6,1,1455.7786259337931,470.95920378636225,1905.8673074868725,1020.7326646620884,,,,,,,,,[None]
7,4,1456.8952985367034,471.100655024168,1905.6078595301462,1020.3094351551772,,,,,,,,,[None]
7,3,824.4382434971099,442.15884209120145,1495.5548004472844,942.0015553786211,1123.797923672891,679.1829509779202,1248.170238126016,749.8751201673733,1161.0473438389067,638.2316722913968,1216.4817920810942,686.6998882337796,Honda
7,2,827.1686816804211,439.50677094296816,1496.7031544415265,939.4085189008797,1124.0098071687023,680.2939413531244,1246.848582803468,751.1141928179682,1161.102489053468,637.8617514117182,1216.017558633546,686.8340414507807,Honda
7,1,1456.7251493573829,470.75494199681737,1906.029397245066,1021.0049260251259,,,,,,,,,[None]
8,3,824.9452781505819,441.2973093245462,1495.5389035709536,940.5315413829005,1124.1513023205039,679.0453867171243,1248.7973594494101,750.7819589827493,1162.3605308361289,638.8976663802102,1215.8832053966757,685.936438963218,Honda
8,2,827.3565133098483,438.95586933347136,1496.8801787827174,938.8745799436572,1124.2048104289888,679.605939523901,1247.9164498332857,750.5418983862057,1161.9064095500826,638.5702644750729,1216.0038826946138,686.7955147192135,Honda
8,1,1457.2564201386776,470.71034992958636,1905.7713871738151,1021.1674371314361,,,,,,,,,[None]
9,3,824.9769225157638,440.6844172777794,1495.2347723626767,938.8050374352454,1124.5673460997482,679.0597377123497,1248.139825347795,750.8260493578575,1162.0864195860763,638.8181910814903,1216.4111571349044,686.5611262621544,Honda
9,2,827.3058938947853,438.4848716608692,1496.6855049263545,937.8586331569463,1124.2707681623633,679.1500175348926,1247.8177347150977,749.9406516901661,1161.9314126936133,638.0841148249317,1215.9026651350196,686.2635581843067,Honda
9,1,1458.3750912197709,470.7183431642104,1905.8085576056221,1021.2795558028756,,,,,,,,,[None]
10,3,825.286775749353,440.7693606280732,1495.6654819683079,938.4777531866857,1123.8649923020873,678.9249087237763,1247.0607930833373,752.2857790851044,1160.3262044602905,638.2188082599091,1215.4411946946655,686.7316714190888,Honda
10,2,827.5526001257348,438.47397365809707,1497.2567053229918,937.6799542574854,1123.93565676636,677.6884359383705,1248.483264188235,750.6071218514564,1162.242572049563,637.1279958748939,1216.5139343542505,685.7329153084877,Honda
10,1,1459.1366014834512,471.0309219577117,1905.7534147960814,1022.1894167754928,,,,,,,,,[None]
11,3,825.3644474311222,440.7274297848704,1495.6295586832362,937.8789878562735,1123.8893802924504,677.8545507565501,1247.1362980170597,751.1796392575267,1160.4261844916691,637.1446355954173,1215.4946964545597,685.4969457760814,Honda
11,2,827.5061442195126,438.4303232713272,1497.1977398610964,937.3672514745955,1123.8928019343564,677.6521250291397,1248.4116312800595,750.5658518357803,1162.1918741999814,637.1000010057022,1216.4731547175595,685.6650492234756,Honda
11,1,1460.2645399391438,471.1572099382021,1905.8430891237356,1022.7310751900565,,,,,,,,,[None]
12,3,825.6836262783986,440.8749471606777,1495.97307360401,937.9052553839033,1124.2061482510549,677.9931569995449,1247.458376034258,751.3321004809902,1160.750856503008,637.304710954623,1215.8115864834767,685.6309896411465,Honda
12,2,827.662206757624,438.50951888031,1497.4455505667565,937.4182962905434,1124.0619565134834,677.7328159994506,1248.5556088572334,750.6410496420287,1162.3499814158272,637.1833012289428,1216.6340085154366,685.7425358480834,Honda
12,1,1460.5886225830288,471.5081907494375,1905.6067527623693,1023.5321766402287,,,,,,,,,[None]
13,3,825.6209157690555,440.76549633425054,1495.9104720650466,937.4192858944097,1124.139592526868,677.9278040735084,1247.3972219213993,751.1984492151099,1160.6824697241336,637.1638575403052,1215.7419484838993,685.5607386438209,Honda
13,2,827.6364924957365,438.4578864793069,1497.3758437627807,937.1675152271765,1124.0165584137053,677.7164314011819,1248.5625484039397,750.5957038621194,1162.2998225738615,637.1409461716897,1216.5710628082365,685.7042854050882,Honda
13,1,1461.0108237346687,471.9362294089508,1905.5297840501569,1024.7041176177459,,,,,,,,,[None]
14,3,825.8267814254554,440.90209201544485,1496.3195145303453,937.5192720416699,1124.2462455367836,680.0540390369292,1247.4041129684242,752.2918625232574,1162.4671622848305,638.6519699451324,1216.9024039840492,686.7037277576324,Honda
14,2,827.733985792061,438.47578052453287,1497.6794428003977,937.1309669214095,1124.0908583506548,677.6886558907438,1248.653144727608,750.6489982979704,1162.3951796397173,637.1613426583219,1216.6376112803423,685.7558250801969,Honda
14,1,1460.9231330907567,472.16535708791446,1905.2964458516415,1025.6113569379067,,,,,,,,,[None]
15,3,825.7453127339163,441.41636520227905,1496.9310559061569,938.8702589042642,1124.0957766011038,679.319929655404,1247.8142214253226,751.3696427901697,1162.4011354878226,638.9625535567712,1216.8041811421194,686.114119108529,Honda
15,2,827.6867595490198,438.7903146911214,1498.1114666993476,937.922720663511,1123.8379741486292,679.0242319274496,1248.7897868927698,751.9957895446371,1162.1498943146448,638.6443948913168,1216.6432414826136,686.575593011434,Honda
15,1,1460.5914212409841,472.27918015760525,1905.1099377105604,1026.882514521639,,,,,,,,,[None]
16,3,824.4423835106912,441.8773985841321,1497.0449064321342,940.8464785677768,1123.231384975535,678.8360777833509,1248.554352504832,749.994799707179,1161.2844245263163,638.37857351089,1217.1797492333476,686.420580957179,Honda
16,2,826.9505849989455,438.98732126973584,1498.2507627728778,938.9276475044629,1124.1003042372267,679.1785596730562,1248.681419959883,751.7809614064546,1162.7202078016799,638.5831312062593,1216.844048133711,686.850648296103,Honda
16,1,1460.2428432347715,472.1368302387408,1904.9963395946097,1027.7768739353278,,,,,,,,,[None]
17,3,823.8500072122231,442.0159773398324,1497.5755048359504,942.4111682665178,1124.0454112649575,678.1077894736214,1248.513093149723,748.8102583456918,1161.5300609231606,637.116227583973,1216.980347788395,685.6923842001839,Honda
17,2,826.618429514272,439.0803551709155,1498.6294377047193,939.8104786781828,1123.8861907447408,678.5986504590014,1248.357687326772,750.5596642529467,1162.5489104713033,637.4838280713061,1216.312521311147,686.0691857373217,Honda
17,1,1460.142441983973,471.79409988014163,1905.0060081908985,1028.0327786866976,,,,,,,,,[None]
18,3,823.0482964396867,441.95777512124744,1497.2921721064988,943.6456134717636,1123.3716606974992,679.2163505607006,1247.5939507365617,749.7036857657787,1160.5942253947649,638.0566673331615,1216.3492913127336,686.8101768546459,Honda
18,2,826.0026882424868,439.0538993887667,1498.0996423632937,940.5359357100174,1123.208803965143,678.690435033298,1248.4850185647524,749.9510551504854,1161.0392483010805,637.795674901462,1215.7193630471743,686.275884252048,Honda
18,1,1459.723750049077,471.4278630383806,1904.8574269006058,1027.4746437703316,,,,,,,,,[None]
19,3,822.7835679797345,442.05995383158097,1498.0462334653853,945.3424549128761,1124.2734971789532,679.4761678208388,1248.1896043566876,749.293108128456,1161.1185899523907,637.7713643540419,1217.4540391711407,686.7025014390028,Honda
19,2,826.0106797004205,439.269839441726,1498.8002686640343,941.9397181109864,1122.9624314094049,678.8055297493431,1248.6841721320611,750.4482757210228,1161.0958542609674,638.0540191292259,1215.6888108039361,686.5106689094994,Honda
19,1,1458.9016896461558,471.1754106851887,1904.609500326796,1027.0045172747937,,,,,,,,,[None]
